rank,bank,country,total_assets_us_b,balance_sheet
59,Commerzbank,Germany,541.434,12/31/2017
60,State Bank of India,India,534.903,12/31/2017
61,Cassa Depositi e Prestiti (CDP),Italy,496.74,6/30/2017
62,The Export-Import Bank of China (Eximbank),China,491.888,12/31/2016
63,Canadian Imperial Bank of Commerce,Canada,483.791,12/31/2017
64,Ping An Bank,China,481.75,9/30/2017
65,ABN AMRO Group NV,Netherlands,470.965,12/31/2017
66,Sberbank of Russia,Russia,470.181,12/31/2017
67,U.S. Bancorp,USA,462.04,12/31/2017
68,CaixaBank,Spain,459.005,12/31/2017
69,Itau Unibanco Holding SA,Brazil,437.41,12/31/2017
70,Resona Holdings,Japan,434.653,12/31/2017
71,Banco do Brasil SA,Brazil,413.147,12/31/2017
72,KB Financial Group,South Korea,409.01,12/31/2017
73,Shinhan Financial Group,South Korea,399.197,12/31/2017
74,Nomura Holdings,Japan,394.791,12/31/2017
75,DBS Group Holdings,Singapore,387.252,12/31/2017
76,Caixa Economica Federal,Brazil,383.261,9/30/2017
77,PNC Financial Services Group,USA,380.768,12/31/2017
78,Hua Xia Bank,China,375.543,9/30/2017
79,Bank of New York Mellon Corp,USA,371.758,12/31/2017
80,Shinkin Central Bank (SCB),Japan,371.313,12/31/2017
81,Capital One Financial Corporation,USA,365.693,12/31/2017
82,Banco Bradesco SA,Brazil,365.493,12/31/2017
83,KBC Group NV,Belgium,350.186,12/31/2017
84,Bank of Beijing,China,349.354,9/30/2017
85,Oversea-Chinese Banking Corp (OCBC),Singapore,340.297,12/31/2017
86,Hana Financial Group,South Korea,337.191,12/31/2017
87,Svenska Handelsbanken,Sweden,336.691,12/31/2017
88,NongHyup Financial Group,South Korea,333.156,6/30/2017
89,Woori Bank,South Korea,332.893,12/31/2017
90,DnB ASA,Norway,328.267,12/31/2017
91,China Guangfa Bank (CGB),China,314.401,12/31/2016
92,Skandinaviska Enskilda Banken,Sweden,311.457,12/31/2017
93,Nationwide Building Society,UK,306.963,9/30/2017
94,Cathay Financial Holding,Taiwan,293.554,9/30/2017
95,Landesbank Baden-Wurttemberg,Germany,285.092,12/31/2017
96,La Banque Postale,France,277.278,12/31/2017
97,Bank of Shanghai,China,270.242,9/30/2017
98,Swedbank,Sweden,269.238,12/31/2017
99,United Overseas Bank (UOB),Singapore,268.23,12/31/2017
100,Bank of Jiangsu,China,266.798,9/30/2017
101,Banco Sabadell,Spain,265.145,12/31/2017
102,Bayerische Landesbank,Germany,264.668,6/30/2017
103,Erste Group Bank AG,Austria,264.319,12/31/2017
104,Brazilian Development Bank (BNDES),Brazil,262.087,9/30/2017
105,Industrial Bank of Korea,South Korea,256.641,12/31/2017
106,Bankia,Spain,256.261,12/31/2017
107,Charles Schwab Corp,USA,243.274,12/31/2017
108,Dexia,Belgium,238.847,6/30/2017
109,State Street Corp,USA,238.425,12/31/2017
110,Raiffeisen Schweiz,Switzerland,233.677,6/30/2017
111,Nykredit Group,Denmark,229.493,12/31/2017
112,Fubon Financial Holding,Taiwan,225.911,9/30/2017
113,VTB Bank,Russia,225.604,12/31/2017
114,China ZheShang Bank (CZBank),China,223.148,6/30/2017
115,BB&T Corporation,USA,221.642,12/31/2017
116,Qatar National Bank,Qatar,221.18,12/31/2017
117,National Bank of Canada,Canada,208.408,12/31/2017
118,Suntrust Banks,USA,205.962,12/31/2017
119,Korea Development Bank,South Korea,205.145,12/31/2016
120,Belfius,Belgium,201.192,12/31/2017
